Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,2nd Phase - General Contingent,1,Management,Daytime,Secondary education,147.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",142.8,1,0,1,0,,1,19,0,0,5,5,5,12.8,0,0,5,5,4,12.0,0,11.1,0.6,2.02,Enrolled
single,Change of Course,1,Equinculture,Daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,1,0,0,1,,0,21,0,0,6,14,5,11.5,1,0,6,13,5,11.0,1,15.5,2.8,-4.06,Dropout
single,3rd Phase - General Contingent,1,Nursing,Daytime,Secondary education,130.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,119.3,1,0,0,1,,1,19,0,0,8,8,7,11.4,0,0,8,8,7,11.4,0,10.8,1.4,1.74,Graduate
single,Technological Specialization Diploma Holders,1,Social Service,Daytime,Secondary education,120.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,121.0,0,0,0,1,,1,21,0,3,6,6,6,12.33333333,0,2,6,8,6,11.33333333,0,13.9,-0.3,0.79,Graduate
single,1st Phase - General Contingent,5,Journalism and Communication,Daytime,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,139.4,1,0,0,1,,0,18,0,0,6,7,5,12.8,0,0,6,10,4,12.2,0,10.8,1.4,1.74,Graduate
single,2nd Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",113.9,1,0,0,1,,1,20,0,0,5,8,5,12.0,1,0,5,8,4,15.0,1,12.7,3.7,-1.7,Graduate
single,1st Phase - General Contingent,1,Basic Education,Daytime,Secondary education,133.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",124.6,1,0,0,1,,1,18,0,0,6,8,5,13.0,0,0,6,9,5,13.5,0,9.4,-0.8,-3.12,Graduate
single,2nd Phase - General Contingent,1,Communication Design,Daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,123.8,1,0,1,0,,1,18,0,0,6,6,6,11.83333333,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,Dropout
single,1st Phase - General Contingent,3,Veterinary Nursing,Daytime,Secondary education,138.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Administrative staff,126.3,1,0,0,1,,0,18,0,0,6,8,6,14.0,0,0,6,9,6,13.33333333,0,8.9,1.4,3.51,Graduate
single,2nd Phase - General Contingent,4,Journalism and Communication,Daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.4,1,0,0,1,,1,18,0,0,6,6,6,12.33333333,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Graduate
single,1st Phase - General Contingent,3,Nursing,Daytime,Secondary education,128.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.5,1,0,0,1,,1,19,0,0,7,10,5,13.04,0,0,7,7,7,12.5,0,12.4,0.5,1.79,Enrolled
single,Short Cycle Diploma Holders,1,Veterinary Nursing,Daytime,Professional higher technical course,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,144.9,1,0,1,0,,0,23,0,7,11,18,11,13.16666667,0,4,9,15,8,13.33333333,0,8.9,1.4,3.51,Enrolled
single,Over 23 Years Old,1,Veterinary Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,139.9,1,0,0,1,,1,24,0,1,6,7,6,12.5,0,0,6,11,6,12.83333333,0,8.9,1.4,3.51,Graduate
single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary education,142.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,133.3,1,0,0,1,,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
single,1st Phase - General Contingent,3,Nursing,Daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.0,1,0,0,1,,0,18,0,0,8,8,7,15.65714286,0,0,8,8,7,15.65714286,0,12.7,3.7,-1.7,Graduate
single,1st Phase - General Contingent,2,Communication Design,Daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,133.5,0,0,0,1,,0,19,0,0,6,6,6,12.16666667,0,0,6,6,6,11.33333333,0,12.7,3.7,-1.7,Graduate
single,2nd Phase - General Contingent,2,Basic Education,Daytime,Secondary education,145.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,127.9,1,0,0,1,,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary education,108.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,105.9,0,0,0,1,,1,20,0,0,6,11,5,10.6,0,0,6,9,5,11.16666667,0,11.1,0.6,2.02,Enrolled
single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Other - 11th Year of Schooling,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",124.3,0,0,0,1,,0,20,0,0,6,10,6,13.42857143,0,0,6,11,5,12.66666667,0,13.9,-0.3,0.79,Enrolled
single,Over 23 Years Old,1,Journalism and Communication,Daytime,Secondary education,140.0,Portuguese,Unknown,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Student,Student,102.5,0,0,0,1,,0,26,0,0,6,8,4,11.75,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
single,Over 23 Years Old,1,Tourism,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",97.0,0,0,1,0,,0,36,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary education,128.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,134.7,0,0,0,0,,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Transfer,1,Informatics Engineering,Daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,113.8,0,0,0,0,,0,27,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st Phase - General Contingent,4,Informatics Engineering,Daytime,Secondary education,120.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Teachers,Sellers,116.9,0,0,0,1,,0,18,0,0,5,9,1,13.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
single,1st Phase - General Contingent,4,Nursing,Daytime,Secondary education,139.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,124.0,1,0,0,1,,1,18,0,0,8,8,7,13.33142857,0,0,8,8,7,13.33142857,0,10.8,1.4,1.74,Graduate
single,Over 23 Years Old,1,Communication Design,Daytime,Secondary education,139.3,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",117.5,0,0,0,1,,0,28,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
single,Technological Specialization Diploma Holders,1,Animation and Multimedia Design,Daytime,Technological specialization course,150.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,154.8,1,0,0,1,,0,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate
single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative staff,Unskilled Workers,141.0,0,0,0,1,,0,19,0,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate
single,Over 23 Years Old,1,Advertising and Marketing Management,Daytime,12th year of schooling - not completed,133.1,Portuguese,Frequency of Higher Education,Technical-Professional Course,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.0,0,0,1,0,,0,26,0,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
single,Change of Institution/Course,1,Informatics Engineering,Daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",133.6,1,0,0,1,,0,20,0,4,9,12,9,13.45454545,0,2,7,9,6,13.875,0,11.1,0.6,2.02,Dropout
single,1st Phase - General Contingent,6,Nursing,Daytime,Secondary education,134.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,122.0,1,0,0,1,,0,19,0,0,8,8,7,12.2,0,0,8,8,7,12.2,0,12.7,3.7,-1.7,Graduate
single,1st Phase - General Contingent,1,Management,Daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,120.0,1,0,0,1,,0,21,0,0,5,8,3,10.0,0,0,5,10,4,11.0,0,12.7,3.7,-1.7,Dropout
single,Short Cycle Diploma Holders,1,Advertising and Marketing Management,Daytime,Professional higher technical course,110.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.2,0,0,0,1,,1,23,0,0,6,7,5,13.0,0,0,6,7,6,12.85714286,0,8.9,1.4,3.51,Graduate
single,Over 23 Years Old,1,Social Service (evening attendance),,Basic education 2nd cycle (6th/7th/8th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,95.5,0,0,0,1,,0,29,0,0,6,11,6,12.0,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Graduate
single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary education,129.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,120.0,0,0,0,1,,0,20,0,0,8,8,7,15.02857143,0,0,8,8,7,15.02857143,0,12.7,3.7,-1.7,Graduate
single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary education,116.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,111.1,0,0,0,1,,0,18,0,0,6,8,6,12.0,0,0,6,7,6,11.71428571,0,15.5,2.8,-4.06,Graduate
single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",128.6,1,0,0,1,,0,19,0,0,6,8,5,12.0,0,0,6,8,5,12.4,0,9.4,-0.8,-3.12,Graduate
single,Holders of Other Higher Courses,1,Oral Hygiene,Daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,130.0,0,0,0,0,,0,23,0,3,7,7,3,13.66666667,0,3,8,8,3,11.33333333,4,10.8,1.4,1.74,Dropout
single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary education,116.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",111.1,0,0,0,1,,0,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,2nd Phase - General Contingent,1,Management,Daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,122.7,1,0,0,1,,0,18,0,0,5,6,5,12.0,0,0,5,7,4,12.5,0,15.5,2.8,-4.06,Enrolled
single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary education,147.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",134.4,1,0,0,1,,1,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
single,1st Phase - General Contingent,5,Communication Design,Daytime,Secondary education,117.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131.0,1,0,1,0,,0,21,0,0,6,6,1,14.0,0,0,6,7,0,0.0,7,9.4,-0.8,-3.12,Dropout
single,Change of Institution/Course,1,Social Service,Daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,125.0,0,0,0,1,,0,22,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout
single,3rd Phase - General Contingent,1,Oral Hygiene,Daytime,Secondary education,133.1,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,106.0,1,0,0,1,,0,21,0,0,7,8,7,12.375,0,0,7,11,5,12.58333333,0,8.9,1.4,3.51,Graduate
single,Over 23 Years Old,1,Nursing,Daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.0,1,0,0,0,,0,32,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,Holders of Other Higher Courses,1,Agronomy,Daytime,Higher education - degree,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",120.0,1,0,0,1,,0,27,0,14,18,21,18,11.42105263,0,10,13,16,13,11.07692308,1,15.5,2.8,-4.06,Graduate
single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary education,148.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,134.8,1,0,0,1,,0,18,0,0,7,7,6,13.35,0,0,7,7,6,13.35,0,7.6,2.6,0.32,Graduate
single,Over 23 Years Old,1,Communication Design,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,112.0,1,0,0,1,,1,24,0,0,6,6,6,15.0,0,0,6,6,2,16.0,0,15.5,2.8,-4.06,Graduate
single,1st Phase - General Contingent,1,Equinculture,Daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,116.1,1,0,0,1,,0,22,0,0,5,9,2,10.5,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Change of Course,1,Equinculture,Daytime,Secondary education,120.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,120.0,1,0,0,0,,0,22,0,0,6,0,0,0.0,0,0,4,6,0,0.0,2,10.8,1.4,1.74,Dropout
single,1st Phase - General Contingent,3,Management,Daytime,Secondary education,133.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",119.7,1,0,0,1,,0,19,0,0,5,8,5,13.25,0,0,5,6,5,11.83333333,0,13.9,-0.3,0.79,Graduate
single,2nd Phase - General Contingent,6,Informatics Engineering,Daytime,Secondary education,129.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,2nd Year Complementary High School Course,Administrative staff,Other Situation,117.1,1,0,0,1,,0,19,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st Phase - General Contingent,2,Veterinary Nursing,Daytime,Secondary education,118.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,112.4,1,0,0,1,,0,21,0,0,5,7,4,11.5,0,0,5,15,3,10.6,4,10.8,1.4,1.74,Enrolled
single,1st Phase - General Contingent,2,Nursing,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",131.0,1,0,0,1,,1,18,0,0,8,8,8,13.88125,0,0,8,8,8,13.88125,0,9.4,-0.8,-3.12,Graduate
single,1st Phase - General Contingent,2,Tourism,Daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,130.9,1,0,0,1,,0,18,0,0,6,8,6,11.33333333,0,0,6,8,5,12.6,0,9.4,-0.8,-3.12,Graduate
single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,134.9,1,0,1,1,,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd Phase - General Contingent,1,Social Service,Daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,127.1,1,0,0,1,,0,19,0,0,6,7,6,12.85714286,0,0,6,7,6,13.66666667,0,13.9,-0.3,0.79,Graduate
single,2nd Phase - General Contingent,5,Journalism and Communication,Daytime,Secondary education,113.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Cleaning workers,"Workers in food processing, woodworking, clothing and other industries and crafts",110.2,1,0,1,1,,0,19,0,0,6,6,5,11.6,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
single,2nd Phase - General Contingent,1,Tourism,Daytime,Secondary education,115.0,Portuguese,Other - 11th Year of Schooling,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,108.7,1,0,0,1,,1,18,0,0,6,9,5,11.4,0,0,6,6,6,11.33333333,0,12.4,0.5,1.79,Graduate
single,1st Phase - General Contingent,1,Equinculture,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,138.0,1,0,0,1,,0,20,0,0,6,11,6,13.33333333,0,0,6,10,6,13.0,0,16.2,0.3,-0.92,Enrolled
single,Technological Specialization Diploma Holders,1,Communication Design,Daytime,Technological specialization course,150.0,Portuguese,Other - 11th Year of Schooling,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,147.7,0,0,1,1,,1,22,0,2,7,7,7,13.57142857,0,5,9,9,9,13.77777778,0,12.4,0.5,1.79,Graduate
married,Over 23 Years Old,1,Oral Hygiene,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,123.0,0,0,0,1,,0,31,0,0,7,13,6,11.83333333,0,0,7,8,7,12.22857143,0,12.4,0.5,1.79,Graduate
single,2nd Phase - General Contingent,1,Basic Education,Daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,142.8,0,0,0,1,,1,19,0,0,7,7,7,14.42857143,0,0,7,7,7,14.14285714,0,16.2,0.3,-0.92,Graduate
single,1st Phase - General Contingent,2,Animation and Multimedia Design,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,138.3,1,0,0,1,,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled
single,1st Phase - General Contingent,2,Tourism,Daytime,Secondary education,136.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",125.2,1,0,0,1,,1,18,0,0,6,8,6,12.28571429,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary education,140.0,Portuguese,Other - 11th Year of Schooling,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Other Situation,141.8,0,0,0,1,,0,21,0,0,5,7,5,14.4,0,0,5,5,5,13.8,0,7.6,2.6,0.32,Graduate
single,2nd Phase - General Contingent,5,Nursing,Daytime,Secondary education,143.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",130.6,1,0,0,1,,1,18,0,0,7,8,7,13.15,0,0,8,9,8,15.06875,0,13.9,-0.3,0.79,Graduate
single,Technological Specialization Diploma Holders,1,Management,Daytime,Technological specialization course,130.0,Cape Verdean,Higher Education - Bachelor's Degree,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,130.0,0,0,1,0,,0,25,1,0,5,6,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,International Student (Bachelor),1,Informatics Engineering,Daytime,Secondary education,133.1,Brazilian,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,100.0,0,0,1,1,,0,21,1,0,5,5,0,0.0,0,0,6,8,0,0.0,0,11.1,0.6,2.02,Dropout
single,3rd Phase - General Contingent,2,Nursing,Daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",119.0,1,0,0,1,,1,19,0,0,8,8,7,12.34285714,0,0,8,8,7,12.34285714,0,10.8,1.4,1.74,Graduate
